"","betas","Model","Coefficient","simulation_1","simulation_2","simulation_3","simulation_4","simulation_5","simulation_6","simulation_7","simulation_8","simulation_9","simulation_10","simulation_11","simulation_12","simulation_13","simulation_14","simulation_15","simulation_16","simulation_17","simulation_18","simulation_19","simulation_20","simulation_21","simulation_22","simulation_23","simulation_24","simulation_25","simulation_26","simulation_27","simulation_28","simulation_29","simulation_30","simulation_31","simulation_32","simulation_33","simulation_34","simulation_35","simulation_36","simulation_37","simulation_38","simulation_39","simulation_40","simulation_41","simulation_42","simulation_43","simulation_44","simulation_45","simulation_46","simulation_47","simulation_48","simulation_49","simulation_50","simulation_51","simulation_52","simulation_53","simulation_54","simulation_55","simulation_56","simulation_57","simulation_58","simulation_59","simulation_60","simulation_61","simulation_62","simulation_63","simulation_64","simulation_65","simulation_66","simulation_67","simulation_68","simulation_69","simulation_70","simulation_71","simulation_72","simulation_73","simulation_74","simulation_75","simulation_76","simulation_77","simulation_78","simulation_79","simulation_80","simulation_81","simulation_82","simulation_83","simulation_84","simulation_85","simulation_86","simulation_87","simulation_88","simulation_89","simulation_90","simulation_91","simulation_92","simulation_93","simulation_94","simulation_95","simulation_96","simulation_97","simulation_98","simulation_99","simulation_100"
"102",0.4,"LASSO",2,1.32505965959649,1.04003257845072,1.07656400460123,1.03838823906784,0.941703958753844,0.875283162181176,0.881062014050405,0.917453431552108,0.905977793163031,0.829751753273251,1.10020611261566,0.690722512673163,0.814536257865826,0.82497367445117,0.902096600565911,0.867265755766117,1.38552683236452,0.899179267348168,0.998691400372497,0.913004232350622,1.09626319729992,1.20426644342913,0.954116764625488,1.15131221325682,0.947876916222325,0.948295809405985,1.03253607021861,0.641052578323346,1.05364870801821,0.96167738884347,1.328902245873,0.697837867523573,0.80621554134935,0.779631554169604,1.05885164888724,0.913915156695435,0.968953507321592,0.607206805257626,1.48182303658599,1.11027595683889,0.805024003804325,0.992411561677962,1.27388498539671,1.13849989178936,0.964452554262748,1.11180274748817,1.16184928529108,1.1295770117242,1.30284480224822,1.18157358225773,1.09039807543238,1.06147831565681,1.20939330886785,0.772844900376665,0.880065861850552,0.909870161454315,0.634183744093012,1.10682670662329,1.23080468207668,1.02304962182698,0.893019481650736,1.15665307441585,0.982392302277671,0.963460695194561,0.823049753233525,0.927937126102817,1.46706132187525,0.916770251538583,0.716656052555879,0.951211158193004,1.17204016825912,0.932107599188825,1.00674821077432,0.928048319374439,1.15467159434147,1.31846654531259,1.45717829914406,1.26398884582454,1.07143170090108,0.834383399961791,1.07195490731789,1.09412959461609,1.11369614239139,1.10997256547732,1.29852932529431,1.17437886102707,1.00235412358319,0.896861817513983,0.838190296054044,0.900922596365648,1.05400949390633,1.03339283751003,0.85536269149347,0.745941781489145,1.38731435385708,1.20778905732796,1.15042910096283,1.00016688342976,1.34976128947941,0.767941323817329
"103",-0.5,"LASSO",3,0.349807628431973,0.427920849266967,0.332667338519567,0.339206043313367,0.371846545782521,0.565865620679585,0.588748962490594,0.310390863489721,0.363757885816524,0.894483943749789,0.359988546163559,0.669815243809424,0.180531936405643,0.458384265226718,0.50281683802757,0.631123742831104,-0.200644239627231,0.389821803093142,0.153463028810228,0.652588231387568,0.0524958229276293,0.312244628329973,0.296388214140432,0,0.7543633640488,0,0.770198816077508,0.676258650346442,0.397318591515396,0.202836764906411,0.649017733356374,0.244362316305106,0.352671534274698,0.693456177994411,0.472008133706204,0.623313453642638,0.623994427784807,0.439672617514075,0.0138481163562878,0,0.63041775146136,0.856691352261266,0.0315502818448934,0.151593806084012,0.721879926873535,0.116347619634496,-0.0323747750660298,0.836717455287463,0.376675835721212,0.25191696401046,0.59870760769881,0.246302275202407,0.349843752354838,0.77690649048915,0.29126655580523,0.469982562348847,0.236035389479216,0.25629634078036,-0.129108692988231,0.412210606692376,0.591027721680649,0.242699201977259,0.715196513711543,0.396578009336051,0.423826829915053,0.463756817727887,0.293374255221025,0.595045591476549,0.339044937388131,0.297975794737695,0.16191074966797,0.268376546944661,0.652729285472548,0.397388728806392,0.435223823836197,0.0290893050992086,0.0265796893366368,-0.0423548764463283,0.089125079135458,0.385061634820232,0,0.272762984885156,0.126533157529207,0.0703794720205322,0.210601132918144,0.140603766947333,0.436004477435342,0.348944941571334,0.53998620415725,0.17942654507438,0.25558920855986,0.629305846371445,0.0441220306612375,0.355573603039989,0.166066119011639,0.576323541347869,0.596192418344685,0.193449022219556,0,0.493523598870348
"104",-0.5,"LASSO",4,-0.871642366469178,-0.685614931649344,-0.560526006129223,-0.527174709564076,-0.597293888856195,-0.46424233345865,-0.422703847209718,0.0049977878780477,-0.483238197952899,-0.861359056244757,-0.648865957363722,-0.291970982625937,-0.12016911705982,-0.382030546327142,-0.6029136129356,-0.181783496341952,-0.475041186306359,-0.46293521963179,-0.388525051079713,-0.238026728359422,-0.357085644964035,-0.655619031402194,-0.155475115542748,-0.517170181042881,-1.03772232603989,0,-0.730197531213198,-0.505206788124528,-0.545490533398449,-0.143021709096781,-0.82868351636036,-0.40357557728886,0,-0.833944959873048,-0.501130305520587,-0.459247106203544,-0.689238534329585,-0.415990499037162,-0.522576073613402,-0.263667011126467,-0.5774559023447,-0.617412092164112,-0.231093428163597,-0.3144485588409,-0.929203974928995,-0.280912842645354,-0.171506033872936,-0.460987407246233,-0.7514183433581,-0.692402494335184,-0.719318266725864,-0.674124148221355,-1.04420959671871,-0.709993273808787,-0.580533319646584,-0.44441031108866,0,-0.294104649080183,-0.117605102089766,-0.516069118066931,-0.558553789023906,-0.235964247289631,-0.688198377872841,-0.59142441635628,-0.399578815802073,-0.363238930105022,-0.748025790649155,-0.703063378065878,-0.240736317973591,-0.505805798477351,-0.0962497774002426,-0.419291600740413,-0.584167877712494,-0.225468942936955,-0.3437669449233,0,-0.782269635682338,-0.311237217318347,-0.524765391239029,-0.12270792158654,-0.250661198360771,-0.486950809635997,-0.137504607435741,-0.294077882256162,-0.261605491141008,-0.320606869336612,-0.0881339090497263,-8.16616426361688e-05,-0.451581970555161,-0.0466665527940479,-0.283719116512216,-0.537593528255728,0,-0.424186091984999,-0.507288310100174,-0.547400186392852,-0.525222844956883,-0.391960120445637,-0.613789315217055,-0.705117069343085
"105",-0.3,"LASSO",5,-0.508929880634853,-0.529272066051964,-0.456593352645279,-0.590445194004792,-0.522849280164193,-0.58935325485566,-0.8630448457091,-0.768121789130747,-0.512359574007512,-0.500680851414773,-0.300450826057389,-0.685290795456408,-0.0307962252124567,-0.490826570275865,-0.547727487176589,-0.865368676721016,-0.406356109933154,-0.696343356411246,-0.459526629869557,-0.499434355771986,-0.280423331381047,0,-0.921923133574032,-0.193769920080952,-0.141869001438082,-0.409058086633572,-0.689849210285454,-1.08639164406928,-0.735836031039583,-0.972359891706341,-0.371731629383041,-0.178959256767898,-0.315482328543094,-0.136029559453115,-0.540856761582916,-0.568905338895719,-0.505902780096572,-0.117723672073657,-0.481703964083784,-0.621413058349751,-0.729184840116383,-0.447752886491041,-0.265448423622322,-0.48481264712196,-0.188484248943192,-0.662793268256652,-0.39883715257313,-0.901143343993249,-0.396207969308593,-0.183265397950413,-0.494006842875047,-0.670654273703219,-0.223091857128028,-0.525361963693787,-0.566911962614969,-0.523656002079928,-0.721365616357176,-0.591280921239182,-0.818578322670578,-0.509338234548736,-0.506890274154825,-0.428022286923819,-1.00777722733895,-0.55264351105554,-0.37725067238693,-0.756306031173304,-0.630463620268153,-0.174755507308321,-0.592794465195037,-0.28005157772042,-0.426510773136453,-0.78242188598273,-0.521553176393792,-0.585937512664363,-0.511111476730186,-0.976294563895549,0,-0.397226921512805,-0.130157546402548,-0.709578446096834,0,-0.682939932627025,-0.576340665378565,-0.672301536423202,-0.567424854135802,-0.493253901940991,-0.655244438848236,-1.00254687076108,-0.29492108477495,-0.750744153761893,-0.51596268421681,-0.749241292990137,-0.559939773513849,-0.415060202584645,-0.339739275202009,-0.678129107116767,-0.64269067093791,-0.251636710547006,-0.377279927806399,-0.498682276374937
"106",0.6,"LASSO",6,0.112032862056862,-0.241022457201847,-0.500263769463682,-0.154271841615261,-0.26842432034105,-0.0292305120473788,-0.0204314701725823,0,-0.56105357454368,0,-0.392259267566619,-0.262993080537139,-0.379413688900517,-0.969258234579565,-0.0659802588808673,-0.30616551171219,-0.246073223379586,-0.296744511551938,0,-0.468846045258862,-0.511555391170451,-0.223364668974798,-0.25327691473657,-0.503142204121016,-0.456481556157562,0,-0.310639166200973,0.199071744440495,0,0,-0.284888341995209,-0.165782337386971,-0.723713915735558,-0.217983884346321,-0.153001327962842,-0.294230427340007,-0.335778984192003,-0.278765488442271,-0.383493520840519,-0.100325296807921,0.110746473880473,-0.753901043592186,-0.322634110465751,-0.239730387356487,-0.0804094418676095,0,-0.526268884450831,-0.351932753341147,-0.221337210610382,0,-0.320983085643745,0,-0.554974385524092,-0.340576638188018,0,-0.408714600263563,0,-0.271901291218534,-0.0425680209159682,0.11000541655748,-0.393846879378346,-0.104221521577349,0,-0.364062142881761,-0.404442720664703,-0.278752930617318,-0.220186124857396,-0.282432986082708,-0.344696026362838,-0.100496005496863,-0.485320523326525,0.145593852286061,-0.587306800349268,-0.555287311145526,-0.42724290152024,-0.256907052059955,-0.515004865143895,-0.130301608967492,-0.558166176589148,-0.417833477411988,-0.385410715628052,0,-0.333516108493242,0.161115565781462,-0.156841983046256,-0.183486059225186,-0.683285216773029,-0.0132626847893944,-0.196778063289577,0,-0.197392639895161,-0.235737570091423,-0.297201916402883,0.0014953849556504,-0.490131710217568,-0.159839815108958,0,-0.267845419888423,-0.128844301961755,-0.438666480530182
"107",0.6,"LASSO",7,0.601342350511696,0.905922137320173,0.658906421397188,0.61419621081428,0.836207345731339,0.728586351598047,0.220635355622405,0.131786294643511,1.22842633868342,0.32874998283617,0.858378561425259,0.446976456827275,0.541504770099635,0.892058427997424,0.399214911905732,0.564936768111957,0.98273571594279,0.889038244467685,0.37818250210017,0.451961615283958,0.570656929159583,0.336760726725669,0.587288238764284,0.795742790386036,0.49157690299233,0.47955829863026,0.517792147964254,0.544189636283965,0.593317516538113,0.828631752484642,0.66024771288539,0,0.295431291793686,0.356912003585734,0.801009776261482,0.704976596001558,1.04881859164884,0.480090809201015,0.670798442725002,0.577644350776202,0.530222352135876,0.509586862919771,0.673314509139387,0.766834588013823,0.302047060431716,0.194161112702649,0.351510468624576,0.274156590361186,0.165226925706887,0.41290318473999,0.579622330252095,0.750573385186133,1.08941266484048,0.724781246835299,0.724444536210153,1.09689558572653,0,0.739743333308602,0.645947633213823,0.673436705470938,0.496159816400574,0.37638812482701,0.88395730558444,0.831235780012683,0.989850150854329,0.678958757228873,0.704318577528862,0.604989982596206,0.537425710616989,0.154285051406357,0.439392657932432,0.359847332152167,0.57261378384152,1.0059281096151,0.404531623754499,0.870028558832161,1.0071564962343,0.654238726910576,0.367790117272672,0.653253851626986,0.22057183871441,0.551092743162034,0.717768958037166,0.410022267396666,0.213843847546818,0.408901380734845,0.621694956953266,0.492715741096977,0,0.53619270894536,0.671132424049644,0.631219270657184,0.43748285306493,0.465895092468031,0.594000701663852,0.482109465154241,0.638947906725249,0.26970409845913,0.366527423454112,0.76903484799215
"108",0.1,"LASSO",8,0.250221902766776,0.155426248344225,0.630749194145765,0.468455223262331,0.501662335762741,0.689305334353182,0.790501923071398,0.651299510594078,0.305936299569575,0.55133222481471,0.143422328537319,0.831599163343088,0.599185451851745,0.770531835935162,0.451354636000609,0.595749862307423,0.168075204990371,0.33850207594807,0.583548401865236,0.695976042038066,0.392772449020759,0.663527780262755,0.396188619430939,0.247735979092782,0.575221308287638,0.539316030508947,0.596506784792549,0.574897001212978,0.7630131598996,0.28263616095779,0.453789530891439,1.02750809521793,0.948153279880367,0.795160628748413,0.506330302849706,0.457153337048157,0.33266786140839,0.860103084572307,0.495864491408613,0.395682549323078,0.537235529040211,0.76767972574922,0.429066657551864,0.654070560670187,0.670970110591897,0.815112607633238,0.899214810057269,0.891033136851871,0.606224694443158,0.743295001031224,0.444608841972263,0.644533499791854,0.676207757670926,0.329125593414692,0.592564347562418,0.268155297233386,0.801362418682836,0.287456339801589,0.516332316818734,0.165540965995285,0.441018445373346,0.424630867469048,0.402051379071175,0.491012141531861,0.6198007257156,0.84325199245211,0.665142669458772,0.64893959105344,0.91586417641749,0.74720827494477,0.635891203228314,0.824171727296036,0.328898881781,0.248145511494789,0.586053717061808,0.322798549954658,0.440338404149673,0.687730350782405,1.0266366346499,0.627047380052284,0.475778498009979,0.441943717678031,0.190987387329712,0.77886315349546,0.258635815889722,0.765697446717738,0.678680278159156,0.774279837657474,1.13895503765251,0.669688894513913,0.452275214393413,0.526834041517993,0.589107933149291,0.669734393511198,0.487908626135795,0.418162613204449,0.117739895806469,0.501226500824423,0.58239787353522,0.50178858316091
"109",-0.2,"LASSO",9,0.169634705668187,0,0.465991243850027,0.0530035242820162,-0.159050979228264,0,0.0701945661891534,0,0,-0.201160948372247,0.380694891377948,0.216539558599063,-0.226706680189031,0,0.265978927720033,0.18528931459711,0.245711225578823,-0.115677749170077,-0.134446825943122,0,0.441024242168346,0,0.122301431037106,0.277437171904613,0.378076998675491,0,0.438925933157804,-0.104248673718587,0,0.202362499357711,0.282018242565542,0,0.138708776824678,-0.185384540172621,-0.0611046183077844,0.141310500369781,0.282395939137942,0,-0.215637737241399,0.362060997943422,0,0,-0.0226427743068097,0.0935312008250087,-0.00022248536508929,0.137351733645514,0.256382792988647,0.109181625387509,0.219675014630804,-0.190068460090638,0.216637010273869,0,-0.12843618246921,-0.194648463294026,0.0823277533649185,0.021935881428726,0.133288937522472,0,0.0400206078628247,0.0473678577193939,0.139922091379603,0,0.248375752716879,0.128175043780173,-0.11550773829135,0,0.324347491350559,-0.180514586891385,-0.25933161194967,-0.164969761685326,0,0,0.524090509620011,0.015899033928577,-0.0399727230425106,0.301524246634657,-0.0714444507668554,0,-0.240023647754218,0.25898515166457,0.339999234208495,0,0.494739335161255,0,0.355980507162579,0.172708894995164,0.0656209509839428,-0.12477601676236,0,0.0193877249484057,0.0103195179487198,0.0450078732526804,0.242170003282697,0.526332319489981,0.224714628753155,0,0.202101735049439,0.338171852086602,0.275506890151452,0.332770754156949
"110",0.7,"LASSO",10,-0.0882021719083113,-0.19338015406042,-0.49917083334344,-0.272395322624052,-0.0199089726313661,-0.0610947368582811,0,-0.0829241049402776,0.012923443724829,-0.0559170230699003,-0.276692633821218,-0.468597939481811,0,-0.610866436493673,0.0422038654588392,-0.389009441496031,-0.38389589259219,-0.0261010502218553,0,-0.00481440758097013,-0.156823009510743,-0.08744078226539,-0.122961793734982,0.16877770326913,-0.281711781067369,-0.342730901196755,-0.278495185469866,0.0912744270427996,-0.00649091575070708,0.0334866576651824,-0.342679924667688,0.0327087921392659,0,-0.351318053026682,-0.260165444164402,-0.385221898113011,-0.224470726958843,-0.326470342971047,0,0,-0.000157161505042437,0.109076874271973,-0.242229783306004,-0.375658419902031,-0.0885415674374096,-0.520142833090261,-0.292978895037722,-0.170751660472727,0,-0.137740726058988,-0.388965568660528,-0.306337238969131,-0.356983659071494,0,-0.24982873467795,-0.378413359859565,0,-0.0666602877711815,0.0535069851412019,-0.241305713626354,0.134230519467022,0.14157309845463,-0.051646321377737,-0.152869171919133,-0.424137574583154,0,-0.448987774107172,-0.416921968945895,0,0,-0.106348124985748,-0.0434087451134407,0.240808060757693,0.0261278944530403,-0.337631155126562,-0.376009254684241,-0.149575225548793,-0.2101320158244,0,-0.321424900830956,0,0,0.0574022325485033,-0.390414146942622,-0.614795663971413,-0.457881710424579,-0.0945198415743274,0.000434548126454541,0,-0.332707599558514,-0.378534225071077,-0.0301184315461203,0.0948024266861819,-0.525695383902196,-0.173082248205488,0.0357526665655978,-0.315167324103941,0.097605732252615,-0.0142569700602113,0
"111",0,"LASSO",11,0.698980134540945,0.680860899207539,0.635813314182627,0.861515985543045,0.751733444078421,0.35225911050327,0.865790913572359,0.413716917728299,0.708234405722046,0.602720979794415,0.721276756352418,0.884167588782857,0.684263340688938,1.10377960565019,0.512085073414011,0.535809340682199,0.702715142259728,0.468308861483084,0.586246123581715,0.378955736080998,0.475794123360378,1.09076248580803,0.589047700503175,0.410040189685549,0.553592677014006,0.801541313449693,0.512013112707766,0.569241419784429,0.177940378823906,0.0230888301566739,0.748637004337242,0.390051721422416,0.499608970667381,0.569896995539582,0.776885245827414,0.963580517090822,0.709514018877206,0.954017508714292,0.79395727753522,0.417344043542296,0.763684917863727,0.257491310351247,1.07063712222237,0.875090135061382,0.628092337779296,1.07447463584152,0.724000513068766,0.226340138247438,0.701968413891489,0.777838214438769,0.563661815742108,0.911367077485437,0.535349709414823,0.81859458460581,0.415694212825876,0.628950216350329,0.889170736888787,0.735464477381489,0.443485741504258,0.868555295102281,0.471117243105982,0.274541862662687,0.614442716312312,0.60122669695837,0.873431573239035,0.420019733798839,0.387923219252794,0.80822411577425,0.54923200683402,0.570818194191673,0.727880571864504,0.573488601604966,0.142111686903189,0.707153441799645,0.587050478368947,0.567380906156096,0.558211675608457,0.628650515465041,0.552871503239539,0.462379495296099,0.466675377899464,0.500235171537493,0.490771723124502,0.853973645361686,0.991882357645117,0.543178404864947,0.485074558493147,0.680349580745984,0.169878168891405,0.914028544865505,0.815326238677444,0.564009526926494,0.524080802577857,0.789046075341322,0.305678512997773,0.540029912842789,1.04484625267099,0.155225089755662,0.0300036323652286,0.296643787596932
