"","alpha","lambda","Model","Simulation_number"
"120",0.1,0.0294705170255181,"ELASTIC NET",40
"121",0,0.120679264063933,"RIDGE",41
"122",1,0.00954095476349994,"LASSO",41
"123",0,0.120679264063933,"ELASTIC NET",41
"124",0,0.120679264063933,"RIDGE",42
"125",1,0.012648552168553,"LASSO",42
"126",0,0.120679264063933,"ELASTIC NET",42
"127",0,0.120679264063933,"RIDGE",43
"128",1,0.00954095476349994,"LASSO",43
"129",0,0.120679264063933,"ELASTIC NET",43
"130",0,0.120679264063933,"RIDGE",44
"131",1,0.00954095476349994,"LASSO",44
"132",0,0.120679264063933,"ELASTIC NET",44
"133",0,0.159985871960606,"RIDGE",45
"134",1,0.0167683293681101,"LASSO",45
"135",0,0.159985871960606,"ELASTIC NET",45
"136",0,0.159985871960606,"RIDGE",46
"137",1,0.00719685673001152,"LASSO",46
"138",0,0.159985871960606,"ELASTIC NET",46
"139",0,0.120679264063933,"RIDGE",47
"140",1,0.00409491506238043,"LASSO",47
"141",0,0.120679264063933,"ELASTIC NET",47
"142",0,0.0910298177991522,"RIDGE",48
"143",1,0.00719685673001152,"LASSO",48
"144",0.1,0.0294705170255181,"ELASTIC NET",48
"145",0,0.0910298177991522,"RIDGE",49
"146",1,0.0222299648252619,"LASSO",49
"147",0,0.0910298177991522,"ELASTIC NET",49
"148",0,0.159985871960606,"RIDGE",50
"149",1,0.00719685673001152,"LASSO",50
"150",0,0.159985871960606,"ELASTIC NET",50
"151",0,0.159985871960606,"RIDGE",51
"152",1,0.00308884359647748,"LASSO",51
"153",0,0.159985871960606,"ELASTIC NET",51
"154",0,0.120679264063933,"RIDGE",52
"155",1,0.00954095476349994,"LASSO",52
"156",0,0.120679264063933,"ELASTIC NET",52
"157",0,0.120679264063933,"RIDGE",53
"158",1,0.00719685673001152,"LASSO",53
"159",0,0.120679264063933,"ELASTIC NET",53
"160",0,0.159985871960606,"RIDGE",54
"161",1,0.00175751062485479,"LASSO",54
"162",0.1,0.0390693993705462,"ELASTIC NET",54
"163",0,0.120679264063933,"RIDGE",55
"164",1,0.00719685673001152,"LASSO",55
"165",0,0.120679264063933,"ELASTIC NET",55
"166",0,0.120679264063933,"RIDGE",56
"167",1,0.00542867543932386,"LASSO",56
"168",0.1,0.0390693993705462,"ELASTIC NET",56
"169",0,0.120679264063933,"RIDGE",57
"170",1,0.0294705170255181,"LASSO",57
"171",0,0.120679264063933,"ELASTIC NET",57
"172",0,0.159985871960606,"RIDGE",58
"173",1,0.0222299648252619,"LASSO",58
"174",0,0.159985871960606,"ELASTIC NET",58
"175",0,0.159985871960606,"RIDGE",59
"176",1,0.00954095476349994,"LASSO",59
"177",0,0.159985871960606,"ELASTIC NET",59
"178",0,0.212095088792019,"RIDGE",60
"179",1,0.0222299648252619,"LASSO",60
"180",0,0.212095088792019,"ELASTIC NET",60
"181",0,0.0910298177991522,"RIDGE",61
"182",1,0.00954095476349994,"LASSO",61
"183",0,0.0910298177991522,"ELASTIC NET",61
"184",0,0.159985871960606,"RIDGE",62
"185",1,0.0222299648252619,"LASSO",62
"186",0,0.159985871960606,"ELASTIC NET",62
"187",0,0.159985871960606,"RIDGE",63
"188",1,0.0167683293681101,"LASSO",63
"189",0.1,0.0517947467923121,"ELASTIC NET",63
"190",0,0.120679264063933,"RIDGE",64
"191",1,0.00954095476349994,"LASSO",64
"192",0,0.120679264063933,"ELASTIC NET",64
"193",0,0.120679264063933,"RIDGE",65
"194",1,0.00542867543932386,"LASSO",65
"195",0.1,0.0294705170255181,"ELASTIC NET",65
"196",0,0.159985871960606,"RIDGE",66
"197",1,0.0167683293681101,"LASSO",66
"198",0,0.159985871960606,"ELASTIC NET",66
"199",0,0.120679264063933,"RIDGE",67
"200",1,0.00719685673001152,"LASSO",67
"201",0,0.120679264063933,"ELASTIC NET",67
"202",0,0.0910298177991522,"RIDGE",68
"203",1,0.00954095476349994,"LASSO",68
"204",0,0.0910298177991522,"ELASTIC NET",68
"205",0,0.120679264063933,"RIDGE",69
"206",1,0.001,"LASSO",69
"207",0.1,0.0294705170255181,"ELASTIC NET",69
"208",0,0.120679264063933,"RIDGE",70
"209",1,0.0167683293681101,"LASSO",70
"210",0.1,0.06866488450043,"ELASTIC NET",70
"211",0,0.159985871960606,"RIDGE",71
"212",1,0.0222299648252619,"LASSO",71
"213",0.2,0.06866488450043,"ELASTIC NET",71
"214",0,0.120679264063933,"RIDGE",72
"215",1,0.00954095476349994,"LASSO",72
"216",0,0.120679264063933,"ELASTIC NET",72
"217",0,0.120679264063933,"RIDGE",73
"218",1,0.0294705170255181,"LASSO",73
"219",0,0.120679264063933,"ELASTIC NET",73
"220",0,0.0910298177991522,"RIDGE",74
"221",1,0.00542867543932386,"LASSO",74
"222",0.1,0.0294705170255181,"ELASTIC NET",74
"223",0,0.159985871960606,"RIDGE",75
"224",1,0.00954095476349994,"LASSO",75
"225",0.1,0.06866488450043,"ELASTIC NET",75
"226",0,0.0910298177991522,"RIDGE",76
"227",1,0.00954095476349994,"LASSO",76
"228",0.1,0.0390693993705462,"ELASTIC NET",76
"229",0,0.120679264063933,"RIDGE",77
"230",1,0.012648552168553,"LASSO",77
